,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
143,R.Dowdle,Dallas Cowboys,1,1,4,0,23,104,0,6,104,4.5,0,0.0,0,0,17,4,1,66.0,1229,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
145,T.Lance,Dallas Cowboys,0,0,0,0,1,1,0,0,1,1.0,0,0.0,0,0,1,0,0,5.0,1229,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
147,C.Rush,Dallas Cowboys,0,0,0,0,1,2,0,1,2,2.0,0,0.0,0,0,2,0,0,95.0,1229,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
149,C.Ham,Minnesota Vikings,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19.0,1229,Green Bay Packers,1,U.S. Bank,indoors,turf,37,95,6,9,Foggy
151,J.Addison,Minnesota Vikings,8,6,69,1,0,0,0,0,0,0,0,0,0,0,0,20,0,90.0,1229,Green Bay Packers,1,U.S. Bank,indoors,turf,37,95,6,9,Foggy
153,J.Nailor,Minnesota Vikings,5,5,81,1,0,0,0,0,0,0,0,0,0,0,0,31,0,53.0,1229,Green Bay Packers,1,U.S. Bank,indoors,turf,37,95,6,9,Foggy
155,J.Jefferson,Minnesota Vikings,11,8,92,0,0,0,0,0,0,0,0,0,0,0,0,37,0,94.0,1229,Green Bay Packers,1,U.S. Bank,indoors,turf,37,95,6,9,Foggy
157,T.Chandler,Minnesota Vikings,0,0,0,0,5,7,0,1,7,1.4,0,0.0,0,0,7,0,0,10.0,1229,Green Bay Packers,1,U.S. Bank,indoors,turf,37,95,6,9,Foggy
159,C.Akers,Minnesota Vikings,3,2,15,1,6,18,0,1,18,3.0,0,0.0,0,0,16,9,0,32.0,1229,Green Bay Packers,1,U.S. Bank,indoors,turf,37,95,6,9,Foggy
161,A.Jones,Minnesota Vikings,5,4,30,0,12,47,0,2,47,3.9,0,0.0,0,0,13,13,0,51.0,1229,Green Bay Packers,1,U.S. Bank,indoors,turf,37,95,6,9,Foggy
163,S.Darnold,Minnesota Vikings,0,0,0,0,3,-3,0,0,-3,-1.0,0,0.0,0,0,-1,0,0,100.0,1229,Green Bay Packers,1,U.S. Bank,indoors,turf,37,95,6,9,Foggy
165,J.Reed,Green Bay Packers,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,71.0,1229,Minnesota Vikings,0,U.S. Bank,indoors,turf,37,95,6,9,Foggy
167,B.Melton,Green Bay Packers,4,3,18,0,0,0,0,0,0,0,0,0,0,0,0,13,0,25.0,1229,Minnesota Vikings,0,U.S. Bank,indoors,turf,37,95,6,9,Foggy
169,T.Kraft,Green Bay Packers,3,2,53,0,0,0,0,0,0,0,0,0,0,0,0,35,0,86.0,1229,Minnesota Vikings,0,U.S. Bank,indoors,turf,37,95,6,9,Foggy
171,E.Wilson,Green Bay Packers,0,0,0,0,6,29,1,1,29,4.8,0,0.0,0,0,14,0,0,32.0,1229,Minnesota Vikings,0,U.S. Bank,indoors,turf,37,95,6,9,Foggy
173,J.Jacobs,Green Bay Packers,0,0,0,0,17,69,1,3,69,4.1,0,0.0,0,0,13,0,1,63.0,1229,Minnesota Vikings,0,U.S. Bank,indoors,turf,37,95,6,9,Foggy
175,J.Love,Green Bay Packers,0,0,0,0,1,6,0,0,6,6.0,0,0.0,0,0,6,0,0,100.0,1229,Minnesota Vikings,0,U.S. Bank,indoors,turf,37,95,6,9,Foggy
177,K.Shakir,Buffalo Bills,6,3,25,0,0,0,0,0,0,0,0,0,0,0,0,12,0,61.0,1229,New York Jets,1,Highmark,outdoors,turf,51,92,7,46,Rain
179,R.Gilliam,Buffalo Bills,0,0,0,0,2,3,0,0,3,1.5,0,0.0,0,0,4,0,0,21.0,1229,New York Jets,1,Highmark,outdoors,turf,51,92,7,46,Rain
181,R.Davis,Buffalo Bills,1,1,4,0,6,9,0,0,9,1.5,0,0.0,0,0,4,4,0,23.0,1229,New York Jets,1,Highmark,outdoors,turf,51,92,7,46,Rain
183,T.Johnson,Buffalo Bills,1,1,9,0,4,16,0,1,16,4.0,0,0.0,0,0,8,9,0,30.0,1229,New York Jets,1,Highmark,outdoors,turf,51,92,7,46,Rain
185,J.Cook,Buffalo Bills,0,0,0,0,15,53,1,3,53,3.5,0,0.0,0,0,8,0,0,46.0,1229,New York Jets,1,Highmark,outdoors,turf,51,92,7,46,Rain
187,M.Trubisky,Buffalo Bills,0,0,0,0,2,-1,0,0,-1,-0.5,0,0.0,0,0,0,0,0,14.0,1229,New York Jets,1,Highmark,outdoors,turf,51,92,7,46,Rain
189,J.Allen,Buffalo Bills,0,0,0,0,5,17,1,3,17,3.4,0,0.0,0,0,10,0,0,86.0,1229,New York Jets,1,Highmark,outdoors,turf,51,92,7,46,Rain
191,T.Conklin,New York Jets,8,8,57,1,0,0,0,0,0,0,0,0,0,0,0,20,0,84.0,1229,Buffalo Bills,0,Highmark,outdoors,turf,51,92,7,46,Rain
